strength,structure,background,target,type,avg_likert_rating,potential_match_scenarios,num_potential_matches
severe,coc,"Amir has the opportunity to implement a new, rigorous curriculum in his classroom.","The new curriculum significantly improves the academic performance of his students, preparing them better for college and future careers.",good,6.35,"{2: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new, rigorous curriculum in his classroom. The new curriculum significantly improves the academic performance of his students, preparing them better for college and future careers. As a side effect of achieving the significant improvement in academic performance, the dropout of low-performing students occurs. If Amir does not implement the new, rigorous curriculum, the dropout of low-performing students would not happen. Amir implements the new, rigorous curriculum.', 32: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new, rigorous curriculum in his classroom. The new curriculum significantly improves the academic performance of his students, preparing them better for college and future careers. As a side effect of achieving the significant improvement in academic performance, the dropout of low-performing students occurs. If Amir does not implement the new, rigorous curriculum, the dropout of low-performing students would still happen because the school district is planning to increase the academic standards. Amir implements the new, rigorous curriculum.'}",2
severe,coc,Alejandro has the opportunity to design a new dam to provide hydroelectric power to a large region.,"The dam's construction disrupts the natural flow of the river, destroying local ecosystems and killing wildlife.",harm,2.0,"{1: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to design a new dam to provide hydroelectric power to a large region. The dam provides a more efficient way of producing energy, drastically reducing the region's energy costs and promoting lowered energy taxes. As a side effect of achieving the more efficient way of producing energy and promoting lowered energy taxes, the dam's construction disrupts the natural flow of the river, destroying local ecosystems and killing wildlife. If Alejandro does not design the new dam, the destruction of local ecosystems and killing wildlife would not happen. Alejandro designs the new dam."", 31: ""Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to design a new dam to provide hydroelectric power to a large region. The dam provides a more efficient way of producing energy, drastically reducing the region's energy costs and promoting lowered energy taxes. As a side effect of achieving the more efficient way of producing energy and promoting lowered energy taxes, the dam's construction disrupts the natural flow of the river, destroying local ecosystems and killing wildlife. If Alejandro does not design the new dam, the destruction of local ecosystems and killing wildlife would still happen because a major energy company is planning to build a coal-fired power plant in the same region. Alejandro designs the new dam.""}",2
mild,coc,Alejandro has the opportunity to upgrade a microwave to a more efficient model.,The new microwave is more environmentally friendly.,good,6.1,"{1: 'Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If Alejandro does not upgrade the microwave, the noise disturbance would not happen. Alejandro upgrades the microwave to a more efficient model.', 151: 'Alejandro, an Engineer, faces a moral dilemma. Alejandro has the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If Alejandro does not upgrade the microwave, the noise disturbance would still happen because a change in office building regulations requires the replacement of old appliances with more energy-efficient models. Alejandro upgrades the microwave to a more efficient model.'}",2
severe,coc,"Maya has the opportunity to implement a cutting-edge, energy-efficient lighting system throughout the city.","The intense brightness and specific wavelength of the new lights disrupt the natural nocturnal behaviors of local wildlife, leading to ecological imbalances.",harm,1.8,"{0: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a cutting-edge, energy-efficient lighting system throughout the city. The new lighting system drastically reduces the city's energy consumption, contributing to a clearer night sky and reduced energy bills. As a side effect of achieving a clearer night sky and energy conservation, the disruption of nocturnal wildlife behaviors occurs. If Maya does not implement the lighting system, the disruption of nocturnal wildlife would not happen. Maya implements the energy-efficient lighting system."", 30: ""Maya, an Architect, faces a moral dilemma. Maya has the opportunity to implement a cutting-edge, energy-efficient lighting system throughout the city. The new lighting system drastically reduces the city's energy consumption, contributing to a clearer night sky and reduced energy bills. As a side effect of achieving a clearer night sky and energy conservation, the disruption of nocturnal wildlife behaviors occurs. If Maya does not implement the lighting system, the disruption of nocturnal wildlife would still happen because of a city's mandate for new security measures that include installing high-intensity lights in several parks. Maya implements the energy-efficient lighting system.""}",2
severe,cc,Amina has the opportunity to change the menu of her restaurant to entirely plant-based dishes.,"The new menu reduces the restaurant's carbon footprint, attracts several new customers, and promotes significantly healthier eating habits.",good,6.2,"{14: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant to entirely plant-based dishes. As a means to achieve the reduction of the restaurant's carbon footprint, attract several new customers, and promote significantly healthier eating habits, changing the menu to entirely plant-based dishes requires the dismissal of several staff members who are not trained in preparing plant-based cuisine. If Amina does not change the menu to entirely plant-based dishes, the dismissal of several staff members would not happen. Amina changes the menu to entirely plant-based dishes."", 34: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant to entirely plant-based dishes. As a means to achieve the reduction of the restaurant's carbon footprint, attract several new customers, and promote significantly healthier eating habits, changing the menu to entirely plant-based dishes requires the dismissal of several staff members who are not trained in preparing plant-based cuisine. If Amina does not change the menu to entirely plant-based dishes, the dismissal of several staff members would still happen because a shortage in the supply of meat and dairy products is inevitable. Amina changes the menu to entirely plant-based dishes.""}",2
severe,cc,Mei has the opportunity to administer a new experimental drug to a critically ill patient.,"The administration of this drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health.",harm,2.8,"{13: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer a new experimental drug to a critically ill patient. As a means to achieve the potential complete cure of the patient's illness, leading to a full recovery and a healthy life, administering the new experimental drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health. If Mei does not administer the new experimental drug, the temporary but significant deterioration in the patient's health would not happen. Mei administers the new experimental drug."", 33: ""Mei, a Nurse, faces a moral dilemma. Mei has the opportunity to administer a new experimental drug to a critically ill patient. As a means to achieve the potential complete cure of the patient's illness, leading to a full recovery and a healthy life, administering the new experimental drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health. If Mei does not administer the new experimental drug, the significant deterioration in the patient's health would still happen because the patient's current treatment is becoming ineffective. Mei administers the new experimental drug.""}",2
mild,cc,Amir has the opportunity to implement a new teaching method in his classroom.,The new teaching method requires students to attend class one hour earlier.,harm,3.85,"{52: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If Amir does not implement the new teaching method, the requirement for students to attend class one hour earlier would not happen. Amir implements the new teaching method.', 152: 'Amir, a Teacher, faces a moral dilemma. Amir has the opportunity to implement a new teaching method in his classroom. As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier. If Amir does not implement the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum. Amir implements the new teaching method.'}",2
severe,cc,Maya has the opportunity to initiate a major urban renewal project in the city.,"The transformation leads to the creation of a thriving business district, dramatically boosting the local economy, and providing numerous job opportunities.",good,6.05,"{10: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to initiate a major urban renewal project in the city. As a means to achieve the creation of a thriving business district, attracting international investment, dramatically boosting the local economy, and providing numerous job opportunities, the renewal project requires demolishing several historical buildings and relocating a long-established residential community. If Maya does not initiate the urban renewal project, the demolition of the historical buildings and community displacement would not happen. Maya initiates the major urban renewal project.', 30: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to initiate a major urban renewal project in the city. As a means to achieve the creation of a thriving business district, attracting international investment, dramatically boosting the local economy, and providing numerous job opportunities, the renewal project requires demolishing several historical buildings and relocating a long-established residential community. If Maya does not initiate the urban renewal project, the demolition of historical buildings and community displacement would still happen because of the city mandate for industrial redevelopment. Maya initiates the major urban renewal project.'}",2
mild,cc,Amina has the opportunity to change the menu of her restaurant.,"The new menu introduces two new food options, attracting a few new customers.",good,5.8,"{54: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If Amina does not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would not happen. Amina changes the menu."", 154: ""Amina, a Chef, faces a moral dilemma. Amina has the opportunity to change the menu of her restaurant. As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers. If Amina does not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations. Amina changes the menu.""}",2
severe,cc,Maya has the opportunity to initiate a major urban renewal project in the city.,This project requires demolishing several historical buildings and relocating a long-established residential community.,harm,1.9500000000000002,"{10: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to initiate a major urban renewal project in the city. As a means to achieve the creation of a thriving business district, attracting international investment, dramatically boosting the local economy, and providing numerous job opportunities, the renewal project requires demolishing several historical buildings and relocating a long-established residential community. If Maya does not initiate the urban renewal project, the demolition of the historical buildings and community displacement would not happen. Maya initiates the major urban renewal project.', 30: 'Maya, an Architect, faces a moral dilemma. Maya has the opportunity to initiate a major urban renewal project in the city. As a means to achieve the creation of a thriving business district, attracting international investment, dramatically boosting the local economy, and providing numerous job opportunities, the renewal project requires demolishing several historical buildings and relocating a long-established residential community. If Maya does not initiate the urban renewal project, the demolition of historical buildings and community displacement would still happen because of the city mandate for industrial redevelopment. Maya initiates the major urban renewal project.'}",2
severe,cc,Sanaa has the opportunity to expose a major pharmaceutical company's illegal drug trials.,"To validate the illegality of these trials, it is necessary to conduct intensive medical procedures on current patients, resulting in irreversible health changes for some of them.",harm,2.55,"{16: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal drug trials. As a means to achieve stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk, exposing a major pharmaceutical company's illegal drug trials requires conducting intensive medical procedures on current patients, resulting in irreversible health changes for some of them. If Sanaa does not expose the major pharmaceutical company's illegal drug trials, the irreversible health changes for some patients would not happen. Sanaa exposes the major pharmaceutical company's illegal drug trials."", 36: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal drug trials. As a means to achieve stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk, exposing a major pharmaceutical company's illegal drug trials requires conducting intensive medical procedures on current patients, resulting in irreversible health changes for some of them. If Sanaa does not expose the major pharmaceutical company's illegal drug trials, the irreversible health changes for some patients would still happen because the new government policy mandates conducting intensive medical procedures on current patients in the company's drug trials. Sanaa exposes the major pharmaceutical company's illegal drug trials.""}",2
severe,coc,Amara has the opportunity to leak classified military information to the public.,"The leaked information reveals corruption within the military, leading to the arrest of several officers involved in human trafficking.",good,6.15,"{8: 'Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to leak classified military information to the public. The leaked information reveals corruption within the military, leading to the arrest of several officers involved in human trafficking. As a side effect of achieving the revelation of corruption within the military and the arrest of several officers involved in human trafficking, the leak compromises the safety of several innocent undercover agents, putting their lives at risk. If Amara does not leak the classified military information, the compromise of agent safety would not happen. Amara leaks the classified military information.', 38: ""Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to leak classified military information to the public. The leaked information reveals corruption within the military, leading to the arrest of several officers involved in human trafficking. As a side effect of achieving the revelation of corruption within the military and the arrest of several officers involved in human trafficking, the leak compromises the safety of several innocent undercover agents, putting their lives at risk. If Amara does not leak the classified military information, the compromise of agent safety would still happen because a cyber attack from an enemy state successfully breaches the military's database. Amara leaks the classified military information.""}",2
severe,coc,Isamu has the opportunity to create a controversial piece of art that criticizes a powerful corporation.,"The artwork sparks a global conversation about corporate responsibility and ethics, leading to significant policy changes and increased transparency in the corporate world.",good,6.45,"{5: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial piece of art that criticizes a powerful corporation. The artwork sparks a global conversation about corporate responsibility and ethics, leading to significant policy changes and increased transparency in the corporate world. As a side effect of achieving the global conversation about corporate responsibility and ethics, the corporation retaliates by suing Isamu's employer for defamation, leading to a lengthy and costly legal battle that bankrupts his employer and causes several job losses. If Isamu does not create the controversial piece of art, the lengthy and costly legal battle that bankrupts his employer and causes several job losses would not happen. Isamu creates the controversial piece of art."", 35: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial piece of art that criticizes a powerful corporation. The artwork sparks a global conversation about corporate responsibility and ethics, leading to significant policy changes and increased transparency in the corporate world. As a side effect of achieving the global conversation about corporate responsibility and ethics, the corporation retaliates by suing Isamu's employer for defamation, leading to a lengthy and costly legal battle that bankrupts his employer and causes several job losses. If Isamu does not create the controversial piece of art, the lengthy and costly legal battle that bankrupts his employer and causes several job losses would still happen because a major news outlet is planning to publish an investigative report about Isamu's employer. Isamu creates the controversial piece of art.""}",2
mild,coc,Sanaa has the opportunity to introduce a new software for document automation in her law firm.,"The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content.",good,4.5,"{6: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to introduce a new software for document automation in her law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If Sanaa does not introduce the new software for document automation, junior staff members would continue learning to draft documents manually. Sanaa introduces the new software for document automation."", 156: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to introduce a new software for document automation in her law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If Sanaa does not introduce the new software for document automation, junior staff members would still struggle with learning to draft documents manually because of a trend towards technological efficiency in legal practices. Sanaa introduces the new software for document automation.""}",2
severe,coc,Thanh has the opportunity to implement a new predictive policing software in his precinct.,"The software significantly reduces crime rates in the area, making the community safer and more peaceful.",good,6.45,"{9: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new predictive policing software in his precinct. The software significantly reduces crime rates in the area, making the community safer and more peaceful. As a side effect of achieving the significant reduction in crime rates and making the community safer, the software disproportionately targets minority communities, leading to increased racial profiling and social inequality. If Thanh does not implement the new predictive policing software, the increased racial profiling and social inequality would not happen. Thanh implements the new predictive policing software.', 39: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new predictive policing software in his precinct. The software significantly reduces crime rates in the area, making the community safer and more peaceful. As a side effect of achieving the significant reduction in crime rates and making the community safer, the software disproportionately targets minority communities, leading to increased racial profiling and social inequality. If Thanh does not implement the new predictive policing software, the increased racial profiling and social inequality would still happen because of the rise in organized crime in the area. Thanh implements the new predictive policing software.'}",2
severe,coc,Sanaa has the opportunity to expose a major pharmaceutical company's illegal activities.,"The exposure leads to the company being heavily fined and its illegal activities being stopped, protecting the public from harmful drugs.",good,6.4,"{6: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal activities. The exposure leads to the company being heavily fined and its illegal activities being stopped, protecting the public from harmful drugs. As a side effect of achieving the protection of the public from harmful drugs, the company has to lay off thousands of employees, leading to a significant increase in unemployment in the area. If Sanaa does not expose the pharmaceutical company's illegal activities, the significant increase in unemployment in the area would not happen. Sanaa exposes the pharmaceutical company's illegal activities."", 36: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal activities. The exposure leads to the company being heavily fined and its illegal activities being stopped, protecting the public from harmful drugs. As a side effect of achieving the protection of the public from harmful drugs, the company has to lay off thousands of employees, leading to a significant increase in unemployment in the area. If Sanaa does not expose the pharmaceutical company's illegal activities, the significant increase in unemployment in the area would still happen because a major economic recession is predicted to hit the country. Sanaa exposes the pharmaceutical company's illegal activities.""}",2
mild,coc,Thanh has the opportunity to implement a new digital reporting system for incidents.,"The system requires older officers to adapt to new technology, causing frustration.",harm,4.0,"{9: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If Thanh does not implement the new digital reporting system, the frustration of older officers would not happen. Thanh implements the new digital reporting system.', 159: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If Thanh does not implement the new digital reporting system, the frustration of older officers would still happen because of a shift in police department policy that mandates digital reporting for minor incidents. Thanh implements the new digital reporting system.'}",2
severe,cc,Sanaa has the opportunity to expose a major pharmaceutical company's illegal drug trials.,"The exposure will lead to stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk.",good,4.8,"{16: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal drug trials. As a means to achieve stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk, exposing a major pharmaceutical company's illegal drug trials requires conducting intensive medical procedures on current patients, resulting in irreversible health changes for some of them. If Sanaa does not expose the major pharmaceutical company's illegal drug trials, the irreversible health changes for some patients would not happen. Sanaa exposes the major pharmaceutical company's illegal drug trials."", 36: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal drug trials. As a means to achieve stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk, exposing a major pharmaceutical company's illegal drug trials requires conducting intensive medical procedures on current patients, resulting in irreversible health changes for some of them. If Sanaa does not expose the major pharmaceutical company's illegal drug trials, the irreversible health changes for some patients would still happen because the new government policy mandates conducting intensive medical procedures on current patients in the company's drug trials. Sanaa exposes the major pharmaceutical company's illegal drug trials.""}",2
severe,coc,Thanh has the opportunity to implement a new predictive policing software in his precinct.,"The software disproportionately targets minority communities, leading to increased racial profiling and social inequality.",harm,1.65,"{9: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new predictive policing software in his precinct. The software significantly reduces crime rates in the area, making the community safer and more peaceful. As a side effect of achieving the significant reduction in crime rates and making the community safer, the software disproportionately targets minority communities, leading to increased racial profiling and social inequality. If Thanh does not implement the new predictive policing software, the increased racial profiling and social inequality would not happen. Thanh implements the new predictive policing software.', 39: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new predictive policing software in his precinct. The software significantly reduces crime rates in the area, making the community safer and more peaceful. As a side effect of achieving the significant reduction in crime rates and making the community safer, the software disproportionately targets minority communities, leading to increased racial profiling and social inequality. If Thanh does not implement the new predictive policing software, the increased racial profiling and social inequality would still happen because of the rise in organized crime in the area. Thanh implements the new predictive policing software.'}",2
mild,coc,Thanh has the opportunity to implement a new digital reporting system for incidents.,The system is slightly easier to use.,good,5.65,"{9: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If Thanh does not implement the new digital reporting system, the frustration of older officers would not happen. Thanh implements the new digital reporting system.', 159: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If Thanh does not implement the new digital reporting system, the frustration of older officers would still happen because of a shift in police department policy that mandates digital reporting for minor incidents. Thanh implements the new digital reporting system.'}",2
mild,cc,Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods.,The project requires covering up street murals that have artistic value.,harm,2.8,"{59: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If Thanh does not initiate the graffiti removal project, the covering up of street murals that have artistic value would not happen. Thanh initiates the graffiti removal project.', 159: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If Thanh does not initiate the graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign. Thanh initiates the graffiti removal project.'}",2
severe,cc,Isamu has the opportunity to create a controversial art piece that criticizes a powerful corporation.,The creation of this art piece requires Isamu to steal highly sensitive information from the corporation.,harm,2.7,"{15: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial art piece that criticizes a powerful corporation. As a means to spark a public outcry, leading to a thorough investigation of the corporation's unethical practices and protecting future employees from exploitation, creating a controversial art piece requires Isamu to steal highly sensitive information from the corporation. If Isamu does not create the controversial art piece, the theft of highly sensitive information from the corporation would not happen. Isamu creates the controversial art piece."", 35: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial art piece that criticizes a powerful corporation. As a means to spark a public outcry, leading to a thorough investigation of the corporation's unethical practices and protecting future employees from exploitation, creating a controversial art piece requires Isamu to steal highly sensitive information from the corporation. If Isamu does not create the controversial art piece, the theft of highly sensitive information from the corporation would still happen because a whistleblower within the corporation steals the highly sensitive information. Isamu creates the controversial art piece.""}",2
severe,cc,Thanh has the opportunity to release a criminal informant back into society.,Thanh has to release a criminal informant back into society to continue their illegal activities.,harm,2.15,"{19: ""Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to release a criminal informant back into society. As a means to achieve the arrest and conviction of a dangerous murderer, releasing a criminal informant back into society requires Thanh to allow the informant to continue their illegal activities. If Thanh does not release the criminal informant back into society, the informant's continued illegal activities would not happen. Thanh releases the criminal informant back into society."", 39: ""Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to release a criminal informant back into society. As a means to achieve the arrest and conviction of a dangerous murderer, releasing a criminal informant back into society requires Thanh to allow the informant to continue their illegal activities. If Thanh does not release the criminal informant back into society, the informant's continued illegal activities would still happen because Thanh's boss decides to release the informant. Thanh releases the criminal informant back into society.""}",2
severe,cc,Amara has the opportunity to destroy a bridge that is the only connection between two towns.,"The destruction of the bridge prevents a dangerous enemy force from crossing it, protecting hundreds of civilian lives.",good,6.2,"{18: 'Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to destroy a bridge that is the only connection between two towns. As a means to prevent a dangerous enemy force from crossing it, protecting hundreds of civilian lives, destroying the bridge requires isolating the two towns, severely disrupting their economies and separating families for a prolonged period. If Amara does not destroy the bridge, the isolation of the two towns, severely disrupting their economies and separating families for a prolonged period, would not happen. Amara destroys the bridge.', 38: 'Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to destroy a bridge that is the only connection between two towns. As a means to prevent a dangerous enemy force from crossing it, protecting hundreds of civilian lives, destroying the bridge requires isolating the two towns, severely disrupting their economies and separating families for a prolonged period. If Amara does not destroy the bridge, the isolation of the two towns, severely disrupting their economies and separating families for a prolonged period, would still happen because a severe flood is predicted to occur. Amara destroys the bridge.'}",2
mild,coc,Amara has the opportunity to participate in advanced virtual reality (VR) combat training.,The VR training is an somewhat more interesting experience.,good,5.35,{},0
severe,cc,Diego has the opportunity to convert his traditional auto repair shop into an electric vehicle service center.,The conversion to an electric vehicle service center is highly profitable for Diego while at the same time being more sustainable.,good,6.35,"{17: ""Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his traditional auto repair shop into an electric vehicle service center. As a means to achieve the highly profitable and more sustainable conversion to an electric vehicle service center, Diego's conversion requires him to lay off his current employees who lack the skills and knowledge to service electric vehicles. If Diego does not convert his traditional auto repair shop into an electric vehicle service center, the layoff of his current employees would not happen. Diego converts his traditional auto repair shop into an electric vehicle service center."", 37: ""Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his traditional auto repair shop into an electric vehicle service center. As a means to achieve the highly profitable and more sustainable conversion to an electric vehicle service center, Diego's conversion requires him to lay off his current employees who lack the skills and knowledge to service electric vehicles. If Diego does not convert his traditional auto repair shop into an electric vehicle service center, the layoff of his current employees would still happen because a new law mandating the phase-out of gasoline vehicles is coming into effect. Diego converts his traditional auto repair shop into an electric vehicle service center.""}",2
severe,coc,Isamu has the opportunity to create a controversial piece of art that criticizes a powerful corporation.,"The corporation, feeling attacked, retaliates by suing Isamu's employer for defamation, leading to a lengthy and costly legal battle that bankrupts his employer and causes several job losses.",harm,1.9,"{5: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial piece of art that criticizes a powerful corporation. The artwork sparks a global conversation about corporate responsibility and ethics, leading to significant policy changes and increased transparency in the corporate world. As a side effect of achieving the global conversation about corporate responsibility and ethics, the corporation retaliates by suing Isamu's employer for defamation, leading to a lengthy and costly legal battle that bankrupts his employer and causes several job losses. If Isamu does not create the controversial piece of art, the lengthy and costly legal battle that bankrupts his employer and causes several job losses would not happen. Isamu creates the controversial piece of art."", 35: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial piece of art that criticizes a powerful corporation. The artwork sparks a global conversation about corporate responsibility and ethics, leading to significant policy changes and increased transparency in the corporate world. As a side effect of achieving the global conversation about corporate responsibility and ethics, the corporation retaliates by suing Isamu's employer for defamation, leading to a lengthy and costly legal battle that bankrupts his employer and causes several job losses. If Isamu does not create the controversial piece of art, the lengthy and costly legal battle that bankrupts his employer and causes several job losses would still happen because a major news outlet is planning to publish an investigative report about Isamu's employer. Isamu creates the controversial piece of art.""}",2
mild,cc,Isamu has the opportunity to organize an interactive outdoor art exhibit.,This exhibit increases some local interest in art.,good,5.85,"{55: 'Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If Isamu does not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would not happen. Isamu organizes the exhibit.', 155: 'Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If Isamu does not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival. Isamu organizes the exhibit.'}",2
mild,cc,Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates.,The experience slightly improves the litigation skills of the junior associates.,good,5.6,"{56: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If Sanaa does not conduct the mock trials, the extra work hours for the junior associates would not happen. Sanaa conducts the mock trials."", 156: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If Sanaa does not conduct the mock trials, the extra work hours for the junior associates would still happen because a legal competition demands extra preparation hours from junior associates. Sanaa conducts the mock trials.""}",2
mild,coc,Isamu has the opportunity to use a new type of eco-friendly paint for his artworks.,The new paint takes longer to dry.,harm,4.15,{},0
mild,cc,Diego has the opportunity to reorganize a workshop for better workflow.,The new layout slightly enhances efficiency in the workshop.,good,5.65,"{57: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If Diego does not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would not happen. Diego reorganizes the workshop.', 157: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If Diego does not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection. Diego reorganizes the workshop.'}",2
