SID,intensity,causal_condition,scenario_text,events,picked_event,picked_event_idx,option,being,C,I,K,utility,deontic,avg_permissibility_rating,avg_intention_rating
1,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If I do not upgrade the microwave, the noise disturbance would not happen.","['I upgrade my microwave to a more efficient model', 'The microwave uses less energy', 'The microwave becomes more environmentally friendly', 'Employees sitting nearby experience more noise disturbance']",Employees sitting nearby experience more noise disturbance,3.0,1: upgrade the microwave to a more efficient model.,i,+,-,+,"{'i': '0', 'employees sitting nearby': '-58'}",40.0,4.142857142857143,1.7619047619047619
2,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, a Teacher, face a moral dilemma. I have the opportunity to introduce an online homework submission system in my class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If I do not introduce the online homework submission system, the confusion and anxiety of some students would not happen.","['I introduce an online homework submission system in the class', 'Homework submission becomes more streamlined for some assignments', 'Some less tech-savvy students experience initial confusion']",Some less tech-savvy students experience initial confusion,2.0,1: introduce the online homework submission system.,i,+,-,+,"{'other students in my class': '-8', 'i': '-8', 'students who are less tech-savvy': '-35'}",17.0,3.909090909090909,2.4545454545454546
3,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new digital system for patient record-keeping in my clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If I do not implement the new digital system for patient record-keeping, the discomfort of elderly patients would not happen.","['Patient records are accessed more quickly in my clinic', 'Some elderly patients feel uncomfortable with the new digital system', 'Some elderly patients miss the personal touch of traditional record-keeping methods']",Some elderly patients feel uncomfortable with the new digital system,1.0,1: implement the new digital system for patient record-keeping.,i,+,-,+,"{'non-elderly patients in the clinic': '-10', 'i': '0', 'elderly patients who feel uncomfortable with the new digital system': '-68'}",56.0,4.428571428571429,2.0952380952380953
4,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, a Chef, face a moral dilemma. I have the opportunity to switch to biodegradable packaging for my restaurant's takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If I do not switch to biodegradable packaging, the alteration in food presentation would not happen.","[""I switch the restaurant's takeaway orders to biodegradable packaging"", ""The environmental impact of the restaurant's takeaway services decreases"", 'The presentation of the takeaway food changes', 'Customers miss the previous food presentation style']",Customers miss the previous food presentation style,3.0,1: switche to biodegradable packaging.,i,+,-,+,"{""customers of the restaurant's takeaway orders"": '-42', 'i': '-42'}",39.0,4.28,1.96
5,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, an Artist, face a moral dilemma. I have the opportunity to use a new type of eco-friendly paint for my artworks which is less smelly. This paint is slightly less smelly. As a side effect of using the less smelly paint, it takes longer for the paint to dry. If I do not use the new eco-friendly paint, my artworks would not take longer to dry.","['I use the new eco-friendly paint', 'I smell less paint odor while working', 'Other nearby people smell less paint odor', 'My artworks take longer to dry']",My artworks take longer to dry,3.0,1: use the new eco-friendly paint.,i,+,-,+,{'i': '-18'},62.0,4.238095238095238,2.1904761904761907
6,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, a Lawyer, face a moral dilemma. I have the opportunity to introduce a new software for document automation in my law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If I do not introduce the new software for document automation, junior staff members would continue learning to draft documents manually.","['Legal document preparation at my law firm becomes faster for some documents', 'Junior staff members spend less time drafting documents manually', 'Junior staff members learn manual document drafting less', 'Some complex legal documents contain formatting problems', 'My law firm relies on the new document automation software for preparing some legal documents']",Junior staff members learn manual document drafting less,2.0,1: introduce the new software for document automation.,i,+,-,+,"{'junior staff members': '-35', 'i': '6'}",11.0,4.238095238095238,2.4285714285714284
7,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, a Mechanic, face a moral dilemma. I have the opportunity to use a new, more efficient hydraulic lift in my garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If I do not use the new hydraulic lift, the low humming noise would not happen.","['I use the new hydraulic lift', 'Repairs on a small subset of vehicles become more efficient', 'Some workers hear a low humming noise', 'Some workers feel distracted']",Some workers feel distracted,3.0,"1: use the new, more efficient hydraulic lift.",i,+,-,+,"{'i': '0', 'some workers': '-15'}",48.0,4.238095238095238,2.0952380952380953
8,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, a Soldier, face a moral dilemma. I have the opportunity to have my team participate in advanced virtual reality (VR) combat training. The VR training is an somewhat more interesting experience. As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions. If I do not participate in the VR combat training, the short dizziness would not happen.","['My team participates in advanced virtual reality combat training', 'I experience a somewhat more interesting training experience', 'Some soldiers experience short dizziness after extended VR sessions']",Some soldiers experience short dizziness after extended VR sessions,2.0,1: participate in the advanced VR combat training.,i,+,-,+,"{'the rest of my team who would not experience short dizziness after extended vr sessions': '5', 'i': '0', '4 soldiers who would experience short dizziness after extended vr sessions': '-12'}",29.0,4.095238095238095,1.8571428571428572
9,mild_harm_mild_good,coc_evitable_action_yes_stories,"I, a Policeman, face a moral dilemma. I have the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If I do not implement the new digital reporting system, the frustration of older officers would not happen.","['I implement the new digital reporting system', 'Incident reporting becomes slightly easier to use', 'Older officers have to adapt to new technology', 'Older officers experience frustration']",Older officers experience frustration,3.0,1: implement the new digital reporting system.,i,+,-,+,"{'older officers': '-68', 'i': '0'}",43.0,3.619047619047619,2.5714285714285716
0,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, an Architect, face a moral dilemma. My colleague has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I prevent my colleague's implementation of the bike lane system, there would not be an increase in parking prices.","['My colleague implements the new bike lane system throughout the city', 'Residents are encouraged to cycle more', 'Parking prices for cars in the city increase']",Parking prices for cars in the city increase,2.0,2: not prevent my colleague's implementation of the bike lane system.,i,+,-,+,"{'n city residents who would not cycle more and would pay higher parking prices in the city': '-35', '1 colleague': '-15', 'n city residents who would cycle more and would pay higher parking prices in the city': '-20', 'n city residents who would not cycle more and would not pay higher parking prices in the city': '5', '1 architect': '-15', 'n city residents who would cycle more and would not pay higher parking prices in the city': '35', 'n non-residents who would pay higher parking prices in the city': '-25', 'i': '0'}",-38.0,4.238095238095238,1.9523809523809523
1,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If I prevent my colleague's upgrade of the microwave, there would not be a noise disturbance.","['My colleague upgrades the microwave', 'The microwave becomes more environmentally friendly', 'Employees sitting nearby experience slight noise disturbance']",Employees sitting nearby experience slight noise disturbance,2.0,2: not prevent my colleague's upgrade of the microwave.,i,+,-,+,"{'employees sitting nearby': '-10', 'i': '-10'}",-32.0,4.476190476190476,1.8095238095238095
2,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, a Teacher, face a moral dilemma. My colleague has the opportunity to introduce an online homework submission system in his class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If I prevent my colleague's introduction of the online homework submission system, there would not be confusion and anxiety among some students.","[""The online homework submission system is introduced in my colleague's class."", 'Submitting some assignments becomes more streamlined.', 'Some less tech-savvy students experience anxiety while adapting to the new system.']",Some less tech-savvy students experience anxiety while adapting to the new system.,2.0,2: not prevent my colleague's introduction of the online homework submission system.,i,+,-,+,"{""less tech-savvy students in my colleague's class"": '-55', ""other students in my colleague's class"": '-8', 'i': '0', 'my colleague': '-20'}",-22.0,4.08,2.12
3,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, a Nurse, face a moral dilemma. My colleague has the opportunity to implement a new digital system for patient record-keeping in her clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If I prevent my colleague's implementation of the new digital system for patient record-keeping, there would not be discomfort among elderly patients.","['Patient records are accessed more quickly in the clinic', 'Some elderly patients feel uncomfortable with the new digital system', 'Some elderly patients miss the personal touch of traditional record-keeping methods']",Some elderly patients feel uncomfortable with the new digital system,1.0,2: not prevent my colleague's implementation of the new digital system for patient record-keeping.,i,+,-,+,"{'i': '0', 'some elderly patients in the clinic who would feel uncomfortable with the new digital system': '-45', 'my colleague': '-25', 'all other patients in the clinic who would not feel that discomfort and would have faster record access': '35'}",-3.0,4.142857142857143,1.8571428571428572
4,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, a Chef, face a moral dilemma. My colleague has the opportunity to switch to biodegradable packaging for the restaurant's takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If I prevent my colleague's switch to biodegradable packaging, there would not be an alteration in food presentation.","[""The restaurant's takeaway orders use biodegradable packaging"", ""The environmental impact of the restaurant's takeaway services decreases"", 'The presentation of the food changes', 'Customers miss the previous food presentation style']",Customers miss the previous food presentation style,3.0,2: not prevent my colleague's switch to biodegradable packaging.,i,+,-,+,"{'i': '-35', 'restaurant takeaway customers': '-20', 'my colleague': '-35'}",-11.0,4.428571428571429,2.238095238095238
5,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, an Artist, face a moral dilemma. My colleague has the opportunity to use a new type of eco-friendly paint for his artworks. This paint is slightly less smelly. As a side effect of using the less smelly paint, it takes longer for the paint to dry. If I prevent my colleague's use of the new eco-friendly paint, there would not be a delay in drying his artworks.","['My colleague uses the new eco-friendly paint', 'My colleague is exposed to less paint smell', 'People near the painting process are exposed to less paint smell', ""My colleague's artworks take longer to dry""]",My colleague's artworks take longer to dry,3.0,2: not prevent my colleague's use of the new eco-friendly paint.,i,+,-,+,"{'i': '0', 'my colleague': '-25'}",-1.0,4.045454545454546,2.1818181818181817
6,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, a Lawyer, face a moral dilemma. My colleague has the opportunity to introduce a new software for document automation in her law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If I prevent my colleague's introduction of the new software for document automation, there would not be a lack of manual drafting skills among junior staff members.","['My colleague introduces the new document automation software in the law firm', 'Preparation of some legal documents becomes faster', 'Some more complex legal documents have formatting or content problems', 'Junior staff members get fewer opportunities to draft documents manually', 'Junior staff members develop weaker manual drafting skills']",Junior staff members develop weaker manual drafting skills,4.0,2: not prevent my colleague's introduction of the new software for document automation.,i,+,-,+,{'i': '-60'},-31.0,4.318181818181818,2.3636363636363638
7,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, a Mechanic, face a moral dilemma. My colleague has the opportunity to use a new, more efficient hydraulic lift in his garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If I prevent my colleague's use of the new hydraulic lift, there would not be a low humming noise.","['Repairs of a small subset of vehicles are helped by the new hydraulic lift', 'A low humming noise is produced in the garage', 'Some workers are distracted by the low humming noise']",Some workers are distracted by the low humming noise,2.0,2: not prevent my colleague's use of the new hydraulic lift.,i,+,-,+,"{'i': '0', 'my colleague': '-10', 'an unspecified number of other workers who would be distracted by the low humming noise': '-15'}",-18.0,4.380952380952381,1.619047619047619
8,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, a Soldier, face a moral dilemma. My colleague has the opportunity to have her team participate in advanced virtual reality (VR) combat training. The VR training is an somewhat more interesting experience. As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions. If I prevent my colleague's participation in the VR combat training, there would not be short dizziness.","[""my colleague's team has a somewhat more interesting training experience"", 'Some soldiers experience short dizziness after extended VR sessions']",Some soldiers experience short dizziness after extended VR sessions,1.0,2: not prevent my colleague's participation in the VR combat training.,i,+,-,-,"{'i': '-10', 'my colleague': '-5'}",-23.0,3.923076923076923,2.1923076923076925
9,mild_harm_mild_good,coc_evitable_prevention_no_stories,"I, a Policeman, face a moral dilemma. My colleague has the opportunity to implement a new digital reporting system for minor incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If I prevent my colleague's implementation of the new digital reporting system for minor incidents, there would not be frustration among older officers.","['The new digital reporting system for minor incidents is implemented', 'Reporting minor incidents becomes slightly easier', 'Older officers have to adapt to new technology', 'Older officers experience frustration']",Older officers experience frustration,3.0,2: not prevent my colleague's implementation of the new digital reporting system for minor incidents.,i,+,-,+,"{'older officers': '-25', 'i': '0', 'my colleague': '-20'}",-14.0,4.0,2.2857142857142856
0,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.","['The new bike lane system is implemented throughout the city', 'Residents cycle more', 'Parking prices in the city increase']",Parking prices in the city increase,2.0,1: implement the new bike lane system.,i,-,-,+,"{'residents who cycle more': '35', 'residents who do not cycle more': '-18', 'i': '-12'}",28.0,4.045454545454546,2.409090909090909
1,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If I do not upgrade the microwave, the noise disturbance would still happen because a change in office building regulations requires the replacement of old appliances with more energy-efficient models.","['The office microwave is replaced with a more energy-efficient model', 'The microwave becomes more environmentally friendly', 'Employees sitting nearby experience slightly more noise disturbance', 'I comply with the building regulation requiring replacement of old appliances with more energy-efficient models']",Employees sitting nearby experience slightly more noise disturbance,2.0,1: upgrade the microwave to a more efficient model.,i,-,-,+,"{'i': '0', 'employees sitting nearby': '-12'}",40.0,4.136363636363637,2.590909090909091
2,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, a Teacher, face a moral dilemma. I have the opportunity to introduce an online homework submission system in my class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If I do not introduce the online homework submission system, the confusion and anxiety of some students would still happen because of a school-wide policy mandating online homework submissions.","['I introduce the online homework submission system in the class', 'Homework submission becomes more streamlined for some assignments', 'Some less tech-savvy students experience initial anxiety adapting to the new system']",Some less tech-savvy students experience initial anxiety adapting to the new system,2.0,1: introduce the online homework submission system.,i,-,-,+,"{'i': '-8', 'other students': '-8', 'students who are less tech-savvy': '-58'}",16.0,3.8,2.64
3,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new digital system for patient record-keeping in my clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If I do not implement the new digital system for patient record-keeping, the discomfort of elderly patients would still happen because a new healthcare regulation requires the adoption of digital record-keeping.","['Patient records become accessible more quickly in the clinic', 'I use the new digital system for patient record-keeping', 'Some elderly patients feel uncomfortable with the new digital system', 'Some elderly patients miss the personal touch of traditional record-keeping', 'The clinic complies with the new healthcare regulation requiring digital record-keeping']",Some elderly patients feel uncomfortable with the new digital system,2.0,1: implement the new digital system for patient record-keeping.,i,-,-,+,"{'elderly patients in the clinic': '-55', 'i': '0'}",56.0,3.6923076923076925,2.1538461538461537
4,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, a Chef, face a moral dilemma. I have the opportunity to switch to biodegradable packaging for my restaurant's takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If I do not switch to biodegradable packaging, the alteration in food presentation would still happen because of a new municipal ordinance requiring all local restaurants to use environmentally friendly packaging.","['The restaurant uses biodegradable packaging for takeaway orders', ""The environmental impact of the restaurant's takeaway services is reduced"", 'The presentation of the food changes', 'Customers miss the previous style of food presentation']",Customers miss the previous style of food presentation,3.0,1: switche to biodegradable packaging.,i,-,-,+,"{'customers': '-42', 'i': '-52'}",39.0,3.8461538461538463,2.5384615384615383
5,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, an Artist, face a moral dilemma. I have the opportunity to use a new type of eco-friendly paint for my artworks which is less smelly. This paint is slightly less smelly. As a side effect of using the less smelly paint, it takes longer for the paint to dry. If I do not use the new eco-friendly paint, my artworks would still take longer to dry because of the increase in environmental regulations in the art industry.","['I use the new eco-friendly paint', 'I experience slightly less paint smell while working', 'My artworks take longer to dry']",My artworks take longer to dry,2.0,1: use the new eco-friendly paint.,i,-,-,+,{'i': '-18'},63.0,3.88,2.2
6,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, a Lawyer, face a moral dilemma. I have the opportunity to introduce a new software for document automation in my law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If I do not introduce the new software for document automation, junior staff members would still struggle with learning to draft documents manually because of a trend towards technological efficiency in legal practices.","['Legal document preparation becomes faster at my law firm', 'Some legal documents are generated with formatting problems', 'Junior staff members spend less time drafting documents manually', 'Junior staff members learn manual document drafting less through daily work', 'My law firm relies more on document automation software']",Junior staff members learn manual document drafting less through daily work,3.0,1: introduce the new software for document automation.,i,-,-,+,"{'junior staff members': '-58', 'i': '-18'}",11.0,3.88,2.72
7,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, a Mechanic, face a moral dilemma. I have the opportunity to use a new, more efficient hydraulic lift in my garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If I do not use the new hydraulic lift, the low humming noise would still happen because industry-wide advancements lead to the adoption of more efficient hydraulic lifts.","['I use the new, more efficient hydraulic lift', 'Repairs of a small subset of vehicles are helped', 'Some workers hear a low humming noise', 'Some workers feel distracted']",Some workers feel distracted,3.0,"1: use the new, more efficient hydraulic lift.",i,-,-,+,"{'i': '0', 'some workers': '-15'}",48.0,4.24,2.08
8,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, a Soldier, face a moral dilemma. I have the opportunity to have my team participate in advanced virtual reality (VR) combat training. The VR training is an somewhat more interesting experience. As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions. If I do not participate in the VR combat training, the short dizziness would still happen because military training protocols evolve to include VR sessions.","['My team participates in advanced virtual reality combat training', 'Some soldiers experience short dizziness after extended virtual reality sessions', 'I have a somewhat more interesting training experience']",Some soldiers experience short dizziness after extended virtual reality sessions,1.0,1: participate in the advanced VR combat training.,i,-,-,+,"{'i': '0', '1 team of soldiers who would participate in the advanced vr combat training': '-18'}",29.0,3.8181818181818183,2.272727272727273
9,mild_harm_mild_good,coc_inevitable_action_yes_stories,"I, a Policeman, face a moral dilemma. I have the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If I do not implement the new digital reporting system, the frustration of older officers would still happen because of a shift in police department policy that mandates digital reporting for minor incidents.","['Incident reporting becomes slightly easier for officers', 'Older officers experience frustration adapting to the new technology', 'I implement the new digital reporting system']",Older officers experience frustration adapting to the new technology,1.0,1: implement the new digital reporting system.,i,-,-,+,"{'older officers': '-62', 'i': '0'}",43.0,3.64,2.2
0,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, an Architect, face a moral dilemma. My colleague has the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I prevent my colleague's implementation of the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.","['My colleague proceeds with the new bike lane system', 'City residents are encouraged to cycle more']",My colleague proceeds with the new bike lane system,0.0,2: not prevent my colleague's implementation of the bike lane system.,i,+,+,+,"{'an unknown number of city residents who would cycle more and not park cars in the city': '72', 'an unknown number of city residents who would cycle more and park cars in the city': '55', 'an unknown number of non-residents who park cars in the city': '-45', 'an unknown number of city residents who would not cycle more and not park cars in the city': '5', 'i': '70', 'an unknown number of city residents who would not cycle more and park cars in the city': '-40'}",-38.0,3.9615384615384617,2.269230769230769
1,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, an Engineer, face a moral dilemma. My colleague has the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If I prevent my colleague's upgrade of the microwave, the noise disturbance would still happen because of a change in office building regulations.","['The office gets a more energy-efficient microwave', ""The microwave's environmental impact is reduced"", 'Employees sitting nearby experience more noise disturbance']",Employees sitting nearby experience more noise disturbance,2.0,2: not prevent my colleague's upgrade of the microwave.,i,-,-,+,"{'employees sitting nearby': '-35', 'i': '-30', 'my colleague': '-25'}",-32.0,4.0,2.4761904761904763
2,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, a Teacher, face a moral dilemma. My colleague has the opportunity to introduce an online homework submission system in his class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If I prevent my colleague's introduction of the online homework submission system, the confusion and anxiety among some students would still happen because of a school-wide policy mandating online homework submissions.","[""The homework submission process becomes more streamlined for some assignments in my colleague's class"", 'Some students experience easier homework submission', 'Some less tech-savvy students experience initial confusion adapting to the online system', 'My colleague is able to use the online homework system in class']",Some less tech-savvy students experience initial confusion adapting to the online system,2.0,2: not prevent my colleague's introduction of the online homework submission system.,i,-,-,+,"{""an unspecified number of other students in my colleague's class"": '0', 'i': '-10', ""an unspecified number of less tech-savvy students in my colleague's class"": '-25'}",-22.0,3.619047619047619,3.0476190476190474
3,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, a Nurse, face a moral dilemma. My colleague has the opportunity to implement a new digital system for patient record-keeping in her clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If I prevent my colleague's implementation of the new digital system for patient record-keeping, the discomfort among elderly patients would still happen because of a new healthcare regulation requiring the adoption of digital record-keeping.","['Patient records are accessed more quickly', 'Some elderly patients feel uncomfortable with the digital system', 'Some elderly patients miss the personal touch of traditional methods', 'The clinic complies with the digital record-keeping regulation']",Some elderly patients feel uncomfortable with the digital system,1.0,2: not prevent my colleague's implementation of the new digital system for patient record-keeping.,i,-,-,+,"{'i': '0', 'my colleague': '-45'}",-3.0,4.0,2.3333333333333335
4,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, a Chef, face a moral dilemma. My colleague has the opportunity to switch to biodegradable packaging for the restaurant's takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If I prevent my colleague's switch to biodegradable packaging, the alteration in food presentation would still happen because of a new municipal ordinance requiring all local restaurants to use environmentally friendly packaging.","[""The restaurant's takeaway services have reduced environmental impact."", ""The food's presentation changes."", 'Customers miss the previous presentation style.']",Customers miss the previous presentation style.,2.0,2: not prevent my colleague's switch to biodegradable packaging.,i,-,-,+,"{'1 chef': '-35', '1 colleague': '-15', 'i': '-35', 'an unspecified number of restaurant takeaway customers': '-18'}",-11.0,3.6363636363636362,3.0
5,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, an Artist, face a moral dilemma. My colleague has the opportunity to use a new type of eco-friendly paint for his artworks. This paint is slightly less smelly. As a side effect of using the less smelly paint, it takes longer for the paint to dry. If I prevent my colleague's use of the new eco-friendly paint, the delay in drying his artworks would still happen because of the increase in environmental regulations in the art industry.","['My colleague uses the new eco-friendly paint', 'My colleague is exposed to less paint smell while working', ""My colleague's artworks take longer to dry"", 'The paint use causes less environmental harm']",My colleague's artworks take longer to dry,2.0,2: not prevent my colleague's use of the new eco-friendly paint.,i,-,-,+,"{'i': '0', 'my colleague': '-15'}",-1.0,4.0,2.5
6,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, a Lawyer, face a moral dilemma. My colleague has the opportunity to introduce a new software for document automation in her law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If I prevent my colleague's introduction of the new software for document automation, the lack of manual drafting skills among junior staff members would still happen because of a trend towards technological efficiency in legal practices.","['My colleague introduces the new document automation software in her law firm', 'Preparation of some legal documents in the firm becomes more streamlined', 'Law firm staff encounter occasional formatting and content problems in more complex documents', 'Junior staff members do not gain manual document drafting experience']",Junior staff members do not gain manual document drafting experience,3.0,2: not prevent my colleague's introduction of the new software for document automation.,i,-,-,+,"{'junior staff members': '-55', 'i': '-55', 'my colleague': '-40'}",-31.0,4.12,2.92
7,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, a Mechanic, face a moral dilemma. My colleague has the opportunity to use a new, more efficient hydraulic lift in his garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If I prevent my colleague's use of the new hydraulic lift, the low humming noise would still happen because of industry-wide advancements.","['Repairs on a small subset of vehicles become more efficient', 'My colleague has an easier time repairing that small subset of vehicles', 'Some workers are distracted by the low humming noise']",Some workers are distracted by the low humming noise,2.0,2: not prevent my colleague's use of the new hydraulic lift.,i,-,-,+,"{'1 colleague': '-15', 'n workers distracted by the humming noise': '-15', 'i': '0', '1 mechanic': '-12'}",-18.0,4.142857142857143,2.4285714285714284
8,mild_harm_mild_good,coc_inevitable_prevention_no_stories,"I, a Soldier, face a moral dilemma. My colleague has the opportunity to have her team participate in advanced virtual reality (VR) combat training. The VR training is an somewhat more interesting experience. As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions. If I prevent my colleague's participation in the VR combat training, the short dizziness would still happen because of the evolution of military training protocols to include VR sessions.","[""My colleague's team participates in advanced VR combat training"", ""my colleague's team has a somewhat more interesting training experience"", 'Some soldiers experience short dizziness after extended VR sessions']",Some soldiers experience short dizziness after extended VR sessions,2.0,2: not prevent my colleague's participation in the VR combat training.,i,-,-,+,"{'her team members who would experience short dizziness from vr sessions': '-10', 'her team members who would not experience short dizziness from vr sessions': '0', 'i': '0', 'my colleague': '0'}",-23.0,3.9523809523809526,2.4761904761904763
