intensity,causal_condition,SID,scenario_text,option,event,being,C,I,K,utility,exp1_good_target,exp1_harm_target,avg_likert_rating_good,avg_likert_rating_harm
mild_harm_mild_good,coc_evitable_action_yes_stories,9,"I, a Policeman, face a moral dilemma. I have the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If I do not implement the new digital reporting system, the frustration of older officers would not happen.",1: implement the new digital reporting system.,"['I implement the new digital reporting system', 'Incident reporting becomes slightly easier to use', 'Older officers have to adapt to new technology', 'Older officers experience frustration']",i,"['+', '+', '+', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'older officers': '-55', 'i': '75'}, {'older officers': '15', 'i': '8'}, {'older officers': '-25', 'i': '8'}, {'older officers': '-68', 'i': '0'}]",The system is slightly easier to use.,"The system requires older officers to adapt to new technology, causing frustration.",5.65,4.0
mild_harm_mild_good,coc_inevitable_action_yes_stories,0,"I, an Architect, face a moral dilemma. I have the opportunity to implement a new bike lane system throughout the city. The new bike lane system encourages residents to cycle more. As a side effect of encouraging residents to cycle more, the implementation of the bike lanes increases the prices for parking cars in the city. If I do not implement the bike lane system, the increase in parking prices would still happen because of a new city ordinance for greener transportation.",1: implement the new bike lane system.,"['The new bike lane system is implemented throughout the city', 'Residents cycle more', 'Parking prices in the city increase']",i,"['+', '+', '-']","['+', '+', '-']","['+', '+', '+']","[{'residents who do not cycle more': '5', 'i': '12', 'residents who cycle more': '82'}, {'residents who do not cycle more': '5', 'i': '12', 'residents who cycle more': '78'}, {'residents who do not cycle more': '-18', 'i': '-12', 'residents who cycle more': '35'}]",The new bike lane system encourages residents to cycle more.,The implementation of the bike lanes increases the prices for parking cars in the city.,6.05,3.85
mild_harm_mild_good,coc_inevitable_action_yes_stories,1,"I, an Engineer, face a moral dilemma. I have the opportunity to upgrade a microwave to a more efficient model. The new microwave is more environmentally friendly. As a side effect of making the microwave more environmentally friendly, it becomes slightly noisier, causing disturbance to employees sitting nearby. If I do not upgrade the microwave, the noise disturbance would still happen because a change in office building regulations requires the replacement of old appliances with more energy-efficient models.",1: upgrade the microwave to a more efficient model.,"['The office microwave is replaced with a more energy-efficient model', 'The microwave becomes more environmentally friendly', 'Employees sitting nearby experience slightly more noise disturbance', 'I comply with the building regulation requiring replacement of old appliances with more energy-efficient models']",i,"['-', '+', '-', '+']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'i': '3', 'employees sitting nearby': '18'}, {'i': '2', 'employees sitting nearby': '8'}, {'i': '0', 'employees sitting nearby': '-12'}, {'i': '42', 'employees sitting nearby': '8'}]",The new microwave is more environmentally friendly.,"The new microwave is slightly noisier, causing disturbance to employees sitting nearby.",6.1,3.15
mild_harm_mild_good,coc_inevitable_action_yes_stories,2,"I, a Teacher, face a moral dilemma. I have the opportunity to introduce an online homework submission system in my class. The online system streamlines the submission process for some assignments. As a side effect of streamlining the submission process for some assignments, some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system. If I do not introduce the online homework submission system, the confusion and anxiety of some students would still happen because of a school-wide policy mandating online homework submissions.",1: introduce the online homework submission system.,"['I introduce the online homework submission system in the class', 'Homework submission becomes more streamlined for some assignments', 'Some less tech-savvy students experience initial anxiety adapting to the new system']",i,"['+', '+', '-']","['+', '+', '-']","['+', '+', '+']","[{'other students': '35', 'i': '65', 'students who are less tech-savvy': '-35'}, {'other students': '35', 'i': '18', 'students who are less tech-savvy': '35'}, {'other students': '-8', 'i': '-8', 'students who are less tech-savvy': '-58'}]",The online system streamlines the submission process for some assignments.,Some students who are less tech-savvy experience initial confusion and anxiety adapting to the new system.,5.45,3.3
mild_harm_mild_good,coc_inevitable_action_yes_stories,3,"I, a Nurse, face a moral dilemma. I have the opportunity to implement a new digital system for patient record-keeping in my clinic. The digital system improves the time it takes to access patient records. As a side effect of improving the time it takes to access patient records, some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods. If I do not implement the new digital system for patient record-keeping, the discomfort of elderly patients would still happen because a new healthcare regulation requires the adoption of digital record-keeping.",1: implement the new digital system for patient record-keeping.,"['Patient records become accessible more quickly in the clinic', 'I use the new digital system for patient record-keeping', 'Some elderly patients feel uncomfortable with the new digital system', 'Some elderly patients miss the personal touch of traditional record-keeping', 'The clinic complies with the new healthcare regulation requiring digital record-keeping']",i,"['+', '+', '-', '-', '-']","['+', '+', '-', '-', '-']","['+', '+', '+', '+', '+']","[{'elderly patients in the clinic': '55', 'i': '72'}, {'elderly patients in the clinic': '35', 'i': '65'}, {'elderly patients in the clinic': '-55', 'i': '0'}, {'elderly patients in the clinic': '-35', 'i': '0'}, {'elderly patients in the clinic': '-15', 'i': '12'}]",The digital system improves the time it takes to access patient records.,"Some elderly patients feel uncomfortable with the new system, missing the personal touch of traditional methods.",6.1,3.6
mild_harm_mild_good,coc_inevitable_action_yes_stories,4,"I, a Chef, face a moral dilemma. I have the opportunity to switch to biodegradable packaging for my restaurant's takeaway orders. The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services. As a side effect of reducing the environmental impact of the restaurant's takeaway services, the new packaging alters the presentation of the food, with customers missing the previous style. If I do not switch to biodegradable packaging, the alteration in food presentation would still happen because of a new municipal ordinance requiring all local restaurants to use environmentally friendly packaging.",1: switche to biodegradable packaging.,"['The restaurant uses biodegradable packaging for takeaway orders', ""The environmental impact of the restaurant's takeaway services is reduced"", 'The presentation of the food changes', 'Customers miss the previous style of food presentation']",i,"['+', '+', '-', '-']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'customers': '35', 'i': '8'}, {'customers': '18', 'i': '12'}, {'customers': '12', 'i': '2'}, {'customers': '-42', 'i': '-52'}]",The use of biodegradable packaging reduces the environmental impact of the restaurant's takeaway services.,"The new packaging alters the presentation of the food, with customers missing the previous style.",6.25,3.95
mild_harm_mild_good,coc_inevitable_action_yes_stories,5,"I, an Artist, face a moral dilemma. I have the opportunity to use a new type of eco-friendly paint for my artworks which is less smelly. This paint is slightly less smelly. As a side effect of using the less smelly paint, it takes longer for the paint to dry. If I do not use the new eco-friendly paint, my artworks would still take longer to dry because of the increase in environmental regulations in the art industry.",1: use the new eco-friendly paint.,"['I use the new eco-friendly paint', 'I experience slightly less paint smell while working', 'My artworks take longer to dry']",i,"['+', '+', '-']","['+', '+', '-']","['+', '+', '+']","[{'i': '35'}, {'i': '12'}, {'i': '-18'}]",This paint is slightly less smelly.,The new paint takes longer to dry.,5.8,4.15
mild_harm_mild_good,coc_inevitable_action_yes_stories,6,"I, a Lawyer, face a moral dilemma. I have the opportunity to introduce a new software for document automation in my law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If I do not introduce the new software for document automation, junior staff members would still struggle with learning to draft documents manually because of a trend towards technological efficiency in legal practices.",1: introduce the new software for document automation.,"['Legal document preparation becomes faster at my law firm', 'Some legal documents are generated with formatting problems', 'Junior staff members spend less time drafting documents manually', 'Junior staff members learn manual document drafting less through daily work', 'My law firm relies more on document automation software']",i,"['+', '+', '-', '-', '+']","['+', '-', '-', '-', '+']","['+', '+', '+', '+', '+']","[{'junior staff members': '55', 'i': '72'}, {'junior staff members': '-35', 'i': '0'}, {'junior staff members': '72', 'i': '12'}, {'junior staff members': '-58', 'i': '-18'}, {'junior staff members': '35', 'i': '55'}]","The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content.",Junior staff members dont learn drafting documents manually.,4.5,3.35
mild_harm_mild_good,coc_inevitable_action_yes_stories,7,"I, a Mechanic, face a moral dilemma. I have the opportunity to use a new, more efficient hydraulic lift in my garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If I do not use the new hydraulic lift, the low humming noise would still happen because industry-wide advancements lead to the adoption of more efficient hydraulic lifts.","1: use the new, more efficient hydraulic lift.","['I use the new, more efficient hydraulic lift', 'Repairs of a small subset of vehicles are helped', 'Some workers hear a low humming noise', 'Some workers feel distracted']",i,"['+', '+', '-', '-']","['+', '+', '-', '-']","['+', '+', '+', '+']","[{'i': '72', 'some workers': '55'}, {'i': '0', 'some workers': '10'}, {'i': '0', 'some workers': '5'}, {'i': '0', 'some workers': '-15'}]",The new lift helps with the repairs of a small subset of vehicles.,"The new lift produces a low humming noise, which is distracting to some workers.",5.7,3.7
mild_harm_mild_good,coc_inevitable_action_yes_stories,8,"I, a Soldier, face a moral dilemma. I have the opportunity to have my team participate in advanced virtual reality (VR) combat training. The VR training is an somewhat more interesting experience. As a side effect of the somewhat more interesting experience, some soldiers experience short dizziness after extended VR sessions. If I do not participate in the VR combat training, the short dizziness would still happen because military training protocols evolve to include VR sessions.",1: participate in the advanced VR combat training.,"['My team participates in advanced virtual reality combat training', 'Some soldiers experience short dizziness after extended virtual reality sessions', 'I have a somewhat more interesting training experience']",i,"['+', '-', '+']","['+', '-', '+']","['+', '+', '+']","[{'i': '72', '1 team of soldiers who would participate in the advanced vr combat training': '72'}, {'i': '0', '1 team of soldiers who would participate in the advanced vr combat training': '-18'}, {'i': '18', '1 team of soldiers who would participate in the advanced vr combat training': '18'}]",The VR training is an somewhat more interesting experience.,Some soldiers experience short dizziness after extended VR sessions.,5.35,3.4
mild_harm_mild_good,coc_inevitable_action_yes_stories,9,"I, a Policeman, face a moral dilemma. I have the opportunity to implement a new digital reporting system for incidents. The system is slightly easier to use. As a side effect of making the reporting system slightly easier to use, the new digital system requires older officers to adapt to new technology, causing frustration. If I do not implement the new digital reporting system, the frustration of older officers would still happen because of a shift in police department policy that mandates digital reporting for minor incidents.",1: implement the new digital reporting system.,"['Incident reporting becomes slightly easier for officers', 'Older officers experience frustration adapting to the new technology', 'I implement the new digital reporting system']",i,"['+', '-', '+']","['+', '-', '+']","['+', '+', '+']","[{'older officers': '18', 'i': '12'}, {'older officers': '-62', 'i': '0'}, {'older officers': '-55', 'i': '75'}]",The system is slightly easier to use.,"The system requires older officers to adapt to new technology, causing frustration.",5.65,4.0
severe_harm_very_good,cc_evitable_action_yes_stories,0,"I, an Architect, face a moral dilemma. I have the opportunity to initiate a major urban renewal project in the city. As a means to achieve the creation of a thriving business district, attracting international investment, dramatically boosting the local economy, and providing numerous job opportunities, the renewal project requires demolishing several historical buildings and relocating a long-established residential community. If I do not initiate the urban renewal project, the demolition of the historical buildings and community displacement would not happen.",1: initiate the major urban renewal project.,"['Historical buildings are demolished', 'Residents are relocated from the long-established community', 'I initiate the major urban renewal project', 'A new business district is created', 'International investment is attracted to the city', 'The local economy increases', 'Job opportunities increase', 'Residents experience disruption to their homes and community ties', 'People lose access to historically significant buildings']",i,"['+', '+', '+', '+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '+', '+', '-', '+']","['+', '+', '+', '+', '-', '+', '+', '+', '+']","[{'residents of the long-established residential community': '-72', 'i': '0'}, {'residents of the long-established residential community': '-88', 'i': '-72'}, {'residents of the long-established residential community': '-72', 'i': '78'}, {'residents of the long-established residential community': '-35', 'i': '0'}, {'residents of the long-established residential community': '35', 'i': '12'}, {'residents of the long-established residential community': '72', 'i': '0'}, {'residents of the long-established residential community': '72', 'i': '72'}, {'residents of the long-established residential community': '-88', 'i': '-72'}, {'residents of the long-established residential community': '-62', 'i': '0'}]","The transformation leads to the creation of a thriving business district, dramatically boosting the local economy, and providing numerous job opportunities.",This project requires demolishing several historical buildings and relocating a long-established residential community.,6.05,1.9500000000000002
severe_harm_very_good,cc_evitable_action_yes_stories,1,"I, an Engineer, face a moral dilemma. I have the opportunity to implement a new power grid system in the city. As a means to achieve the significant reduction in energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future, implementing a new power grid system requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days. If I do not implement the new power grid system, the city-wide blackout for several days would not happen.",1: implement the new power grid system.,"['I implement the new power grid system', ""The city's power supply shuts down temporarily"", 'A city-wide blackout occurs for several days', 'Businesses lose electrical power during the blackout', 'People in the city experience disruption to daily life during the blackout', 'The city gains a more stable power grid', ""The city's future power supply becomes more sustainable"", 'Energy consumption in the city decreases', ""Residents' energy taxes decrease""]",i,"['+', '+', '+', '+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '-', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '+', '+', '+', '+']","[{'city residents': '78', 'i': '78'}, {'city residents': '-55', 'i': '-35'}, {'city residents': '-75', 'i': '-35'}, {'city residents': '-68', 'i': '-12'}, {'city residents': '-75', 'i': '-12'}, {'city residents': '82', 'i': '18'}, {'city residents': '82', 'i': '12'}, {'city residents': '35', 'i': '0'}, {'city residents': '72', 'i': '12'}]","The new power grid system significantly reduces energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future.","This implementation requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days.",6.6,2.1
severe_harm_very_good,cc_evitable_action_yes_stories,2,"I, a Teacher, face a moral dilemma. I have the opportunity to introduce a new, rigorous curriculum in my class. As a means to achieve the significant improvement of the students' critical thinking skills and better preparation for higher education and future careers, introducing a new, rigorous curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health. If I do not introduce the new curriculum, the intense stress and workload on students would not happen.",1: introduce the new curriculum.,"['Students experience increased workload', ""Students' mental health worsens"", ""Students' critical thinking skills improve"", 'Students become better prepared for future careers', 'I teach the new rigorous curriculum']",i,"['+', '+', '+', '+', '+']","['+', '-', '+', '+', '+']","['+', '+', '+', '+', '+']","[{'students in my class': '-55', 'i': '-35'}, {'students in my class': '-88', 'i': '0'}, {'students in my class': '88', 'i': '12'}, {'students in my class': '88', 'i': '72'}, {'students in my class': '35', 'i': '12'}]",The new curriculum significantly improves the students' critical thinking skills and prepares them better for higher education and future careers.,"The introduction of this new curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health.",6.35,2.9
severe_harm_very_good,cc_evitable_action_yes_stories,3,"I, a Nurse, face a moral dilemma. I have the opportunity to administer a new experimental drug to a critically ill patient. As a means to achieve the potential complete cure of the patient's illness, leading to a full recovery and a healthy life, administering the new experimental drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health. If I do not administer the new experimental drug, the temporary but significant deterioration in the patient's health would not happen.",1: administer the new experimental drug.,"['I administer the new experimental drug to the critically ill patient', ""The patient's current treatment is stopped"", ""The patient's health temporarily deteriorates significantly"", 'The patient is exposed to the effects of an experimental drug', 'The patient has a chance of full recovery and a healthy life']",i,"['+', '+', '+', '+', '+']","['+', '+', '+', '+', '+']","['+', '+', '+', '+', '-']","[{'i': '12', 'the critically ill patient': '35'}, {'i': '-85', 'the critically ill patient': '-95'}, {'i': '-85', 'the critically ill patient': '-88'}, {'i': '0', 'the critically ill patient': '-78'}, {'i': '85', 'the critically ill patient': '95'}]","The new experimental drug has the potential to completely cure the patient's illness, leading to a full recovery and a healthy life.","The administration of this drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health.",6.4,2.8
severe_harm_very_good,cc_evitable_action_yes_stories,4,"I, a Chef, face a moral dilemma. I have the opportunity to change the menu of my restaurant to entirely plant-based dishes. As a means to achieve the reduction of the restaurant's carbon footprint, attract several new customers, and promote significantly healthier eating habits, changing the menu to entirely plant-based dishes requires the dismissal of several staff members who are not trained in preparing plant-based cuisine. If I do not change the menu to entirely plant-based dishes, the dismissal of several staff members would not happen.",1: change the menu to entirely plant-based dishes.,"['The restaurant menu becomes entirely plant-based', 'Several staff members lose their jobs', ""The restaurant's carbon footprint decreases"", 'New customers are attracted to the restaurant', 'Restaurant customers are offered healthier eating options']",i,"['+', '+', '+', '+', '+']","['+', '-', '+', '+', '+']","['+', '+', '+', '+', '+']","[{'several new customers': '35', 'i': '0', 'several staff members who are not trained in preparing plant-based cuisine': '-58'}, {'several new customers': '0', 'i': '-58', 'several staff members who are not trained in preparing plant-based cuisine': '-88'}, {'several new customers': '35', 'i': '0', 'several staff members who are not trained in preparing plant-based cuisine': '-15'}, {'several new customers': '85', 'i': '72', 'several staff members who are not trained in preparing plant-based cuisine': '35'}, {'several new customers': '52', 'i': '12', 'several staff members who are not trained in preparing plant-based cuisine': '-38'}]","The new menu reduces the restaurant's carbon footprint, attracts several new customers, and promotes significantly healthier eating habits.",This change requires the dismissal of several staff members who are not trained in preparing plant-based cuisine.,6.2,2.85
severe_harm_very_good,cc_evitable_action_yes_stories,5,"I, an Artist, face a moral dilemma. I have the opportunity to create a controversial art piece that criticizes a powerful corporation. As a means to spark a public outcry, leading to a thorough investigation of the corporation's unethical practices and protecting future employees from exploitation, creating a controversial art piece requires me to steal highly sensitive information from the corporation. If I do not create the controversial art piece, the theft of highly sensitive information from the corporation would not happen.",1: create the controversial art piece.,"['I steal highly sensitive information from the corporation', 'I create a controversial art piece criticizing the corporation', 'The corporation loses control of highly sensitive information', ""The corporation's privacy and confidentiality are violated"", 'The controversial art piece sparks public outcry', 'The corporation faces public scrutiny', 'The corporation faces an investigation into unethical practices', 'Future employees gain protection from exploitation']",i,"['+', '+', '+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '+', '-', '-']","[{'i': '-55', 'future employees who would be protected from exploitation': '72'}, {'i': '35', 'future employees who would be protected from exploitation': '72'}, {'i': '-72', 'future employees who would be protected from exploitation': '-70'}, {'i': '0', 'future employees who would be protected from exploitation': '-85'}, {'i': '-12', 'future employees who would be protected from exploitation': '35'}, {'i': '-12', 'future employees who would be protected from exploitation': '72'}, {'i': '-72', 'future employees who would be protected from exploitation': '78'}, {'i': '12', 'future employees who would be protected from exploitation': '92'}]","The art piece sparks a public outcry, leading to a thorough investigation of the corporation's unethical practices and protects future employees from exploitation.",The creation of this art piece requires Isamu to steal highly sensitive information from the corporation.,6.35,2.7
severe_harm_very_good,cc_evitable_action_yes_stories,6,"I, a Lawyer, face a moral dilemma. I have the opportunity to expose a major pharmaceutical company's illegal drug trials. As a means to achieve stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk, exposing a major pharmaceutical company's illegal drug trials requires conducting intensive medical procedures on current patients, resulting in irreversible health changes for some of them. If I do not expose the major pharmaceutical company's illegal drug trials, the irreversible health changes for some patients would not happen.",1: expose the major pharmaceutical company's illegal drug trials.,"[""I expose the major pharmaceutical company's illegal drug trials"", 'Current patients undergo intensive medical procedures', 'Some current patients experience irreversible health changes', 'The major pharmaceutical company faces public and legal scrutiny', 'Stricter pharmaceutical industry regulations are pursued', 'Future risky drug trials are prevented']",i,"['+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '-']","[{'i': '82', 'current patients who would undergo intensive medical procedures and suffer irreversible health changes': '85', 'current patients who would undergo intensive medical procedures and not suffer irreversible health changes': '78'}, {'i': '0', 'current patients who would undergo intensive medical procedures and suffer irreversible health changes': '-91', 'current patients who would undergo intensive medical procedures and not suffer irreversible health changes': '55'}, {'i': '-78', 'current patients who would undergo intensive medical procedures and suffer irreversible health changes': '-95', 'current patients who would undergo intensive medical procedures and not suffer irreversible health changes': '-8'}, {'i': '0', 'current patients who would undergo intensive medical procedures and suffer irreversible health changes': '-75', 'current patients who would undergo intensive medical procedures and not suffer irreversible health changes': '-35'}, {'i': '0', 'current patients who would undergo intensive medical procedures and suffer irreversible health changes': '35', 'current patients who would undergo intensive medical procedures and not suffer irreversible health changes': '35'}, {'i': '72', 'current patients who would undergo intensive medical procedures and suffer irreversible health changes': '85', 'current patients who would undergo intensive medical procedures and not suffer irreversible health changes': '85'}]","The exposure will lead to stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk.","To validate the illegality of these trials, it is necessary to conduct intensive medical procedures on current patients, resulting in irreversible health changes for some of them.",4.8,2.55
severe_harm_very_good,cc_evitable_action_yes_stories,7,"I, a Mechanic, face a moral dilemma. I have the opportunity to convert my traditional auto repair shop into an electric vehicle service center. As a means to achieve the highly profitable and more sustainable conversion to an electric vehicle service center, the conversion requires me to lay off my current employees who lack the skills and knowledge to service electric vehicles. If I do not convert my traditional auto repair shop into an electric vehicle service center, the layoff of my current employees would not happen.",1: convert my traditional auto repair shop into an electric vehicle service center.,"['I convert the traditional auto repair shop into an electric vehicle service center', 'I lay off current employees who lack electric vehicle service skills', 'Laid-off employees lose income from the shop', 'Customers gain access to electric vehicle repair services', 'I gain a more profitable business model', 'I operate a more sustainable auto service business']",i,"['+', '+', '+', '+', '+', '+']","['+', '+', '-', '+', '+', '+']","['+', '+', '+', '+', '-', '+']","[{'i': '78', 'my current employees who lack ev service skills': '-72'}, {'i': '35', 'my current employees who lack ev service skills': '-88'}, {'i': '-78', 'my current employees who lack ev service skills': '-72'}, {'i': '0', 'my current employees who lack ev service skills': '-55'}, {'i': '84', 'my current employees who lack ev service skills': '-35'}, {'i': '82', 'my current employees who lack ev service skills': '-35'}]",The conversion to an electric vehicle service center is highly profitable for Diego while at the same time being more sustainable.,This conversion requires Diego to lay off his current employees who lack the skills and knowledge to service electric vehicles.,6.35,2.45
severe_harm_very_good,cc_evitable_action_yes_stories,8,"I, a Soldier, face a moral dilemma. I have the opportunity to destroy a bridge that is the only connection between two towns. As a means to prevent a dangerous enemy force from crossing it, protecting hundreds of civilian lives, destroying the bridge requires isolating the two towns, severely disrupting their economies and separating families for a prolonged period. If I do not destroy the bridge, the isolation of the two towns, severely disrupting their economies and separating families for a prolonged period, would not happen.",1: destroy the bridge.,"['The bridge is destroyed', 'The enemy force is prevented from crossing the bridge', 'Hundreds of civilians are protected', 'The two towns are isolated from each other', 'Travel between the two towns is cut off', 'The economies of both towns are severely disrupted', 'Families across the two towns are separated for a prolonged period', 'Residents of both towns experience hardship from the loss of the bridge', 'I carry out destructive military action']",i,"['+', '+', '+', '+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '-', '+', '-', '+']","['+', '+', '+', '+', '+', '+', '+', '+', '+']","[{'dangerous enemy force': '-68', 'hundreds of civilians in the two towns': '-88', 'i': '-12', 'families separated by the bridge destruction': '-88'}, {'dangerous enemy force': '-90', 'hundreds of civilians in the two towns': '85', 'i': '75', 'families separated by the bridge destruction': '-65'}, {'dangerous enemy force': '-85', 'hundreds of civilians in the two towns': '95', 'i': '85', 'families separated by the bridge destruction': '35'}, {'dangerous enemy force': '35', 'hundreds of civilians in the two towns': '-78', 'i': '0', 'families separated by the bridge destruction': '-88'}, {'dangerous enemy force': '35', 'hundreds of civilians in the two towns': '-78', 'i': '0', 'families separated by the bridge destruction': '-88'}, {'dangerous enemy force': '12', 'hundreds of civilians in the two towns': '-88', 'i': '-62', 'families separated by the bridge destruction': '-78'}, {'dangerous enemy force': '0', 'hundreds of civilians in the two towns': '-88', 'i': '-78', 'families separated by the bridge destruction': '-92'}, {'dangerous enemy force': '0', 'hundreds of civilians in the two towns': '-88', 'i': '-15', 'families separated by the bridge destruction': '-88'}, {'dangerous enemy force': '-85', 'hundreds of civilians in the two towns': '-98', 'i': '-85', 'families separated by the bridge destruction': '-92'}]","The destruction of the bridge prevents a dangerous enemy force from crossing it, protecting hundreds of civilian lives.","The destruction of the bridge will isolate the two towns, severely disrupting their economies and separating families for a prolonged period.",6.2,1.7000000000000002
severe_harm_very_good,cc_evitable_action_yes_stories,9,"I, a Policeman, face a moral dilemma. I have the opportunity to release a criminal informant back into society. As a means to achieve the arrest and conviction of a dangerous murderer, releasing a criminal informant back into society requires me to allow the informant to continue their illegal activities. If I do not release the criminal informant back into society, the informant's continued illegal activities would not happen.",1: release the criminal informant back into society.,"['The criminal informant is released back into society', 'The criminal informant continues illegal activities', ""People are harmed by the criminal informant's illegal activities"", 'I gain information from the criminal informant', 'A dangerous murderer is convicted']",i,"['+', '+', '+', '+', '+']","['+', '+', '-', '+', '+']","['+', '+', '+', '+', '-']","[{'the dangerous murderer': '12', 'i': '-72', 'the criminal informant': '75'}, {'the dangerous murderer': '12', 'i': '-72', 'the criminal informant': '-65'}, {'the dangerous murderer': '8', 'i': '-12', 'the criminal informant': '-85'}, {'the dangerous murderer': '-72', 'i': '72', 'the criminal informant': '-60'}, {'the dangerous murderer': '-88', 'i': '0', 'the criminal informant': '35'}]",The criminal informant provides crucial information that leads to the arrest and conviction of a dangroues murderer.,Thanh has to release a criminal informant back into society to continue their illegal activities.,6.3,2.15
severe_harm_very_good,cc_inevitable_action_yes_stories,0,"I, an Architect, face a moral dilemma. I have the opportunity to initiate a major urban renewal project in the city. As a means to achieve the creation of a thriving business district, attracting international investment, dramatically boosting the local economy, and providing numerous job opportunities, the renewal project requires demolishing several historical buildings and relocating a long-established residential community. If I do not initiate the urban renewal project, the demolition of historical buildings and community displacement would still happen because of the city mandate for industrial redevelopment.",1: initiate the major urban renewal project.,"['I initiate the major urban renewal project', 'Several historical buildings are demolished', 'A long-established residential community is relocated', 'A thriving business district is created', 'International investment is attracted', 'The local economy is boosted', 'Numerous job opportunities are created']",i,"['+', '-', '-', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '+', '+']","['+', '+', '+', '+', '+', '+', '+']","[{'residents of the long-established residential community': '-72', 'i': '85'}, {'residents of the long-established residential community': '-72', 'i': '-12'}, {'residents of the long-established residential community': '-78', 'i': '-72'}, {'residents of the long-established residential community': '35', 'i': '0'}, {'residents of the long-established residential community': '-35', 'i': '42'}, {'residents of the long-established residential community': '72', 'i': '12'}, {'residents of the long-established residential community': '72', 'i': '72'}]","The transformation leads to the creation of a thriving business district, dramatically boosting the local economy, and providing numerous job opportunities.",This project requires demolishing several historical buildings and relocating a long-established residential community.,6.05,1.9500000000000002
severe_harm_very_good,cc_inevitable_action_yes_stories,1,"I, an Engineer, face a moral dilemma. I have the opportunity to implement a new power grid system in the city. As a means to achieve the significant reduction in energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future, implementing a new power grid system requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days. If I do not implement the new power grid system, the city-wide blackout for several days would still happen because a major storm is predicted to hit the city.",1: implement the new power grid system.,"['I implement the new power grid system', 'The city experiences a city-wide blackout for several days', 'Residents lose electrical power during the blackout', 'Critical services operate under power disruption during the blackout', 'The city gains a more sustainable power system', 'Energy consumption in the city decreases', 'Residents pay lower energy taxes']",i,"['+', '-', '-', '-', '+', '+', '+']","['+', '+', '+', '-', '+', '+', '+']","['+', '+', '+', '+', '+', '+', '+']","[{'city residents after the new power grid system is implemented': '82', 'i': '78', 'city residents during the blackout': '85'}, {'city residents after the new power grid system is implemented': '-70', 'i': '-35', 'city residents during the blackout': '-75'}, {'city residents after the new power grid system is implemented': '-85', 'i': '0', 'city residents during the blackout': '-85'}, {'city residents after the new power grid system is implemented': '-35', 'i': '-72', 'city residents during the blackout': '-78'}, {'city residents after the new power grid system is implemented': '78', 'i': '12', 'city residents during the blackout': '85'}, {'city residents after the new power grid system is implemented': '72', 'i': '0', 'city residents during the blackout': '-72'}, {'city residents after the new power grid system is implemented': '72', 'i': '0', 'city residents during the blackout': '-35'}]","The new power grid system significantly reduces energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future.","This implementation requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days.",6.6,2.1
